blogs_count,brief_intro,comment_count,concern_count,content,label,followers_count,forward,like,mid,name,time,url
4078,头条文章作者,1,826,"这个调侃韩国冬奥会的视频，还是有点意思的。
虽说中国只获得了一枚金牌，最重要的是参与奥运会的精神不能变，冬奥会结束以后，张艺谋导演的短片《北京8分钟》，采用高科技的手段宣传北京，也令人眼前一亮。
不过，最让我感到有意思的，还是韩国总统文在寅与金汝静的深情对视，让人回味无穷 L宋小二文学随笔的秒拍视频 收起全文d",2,1599,6,10,4.21251E+15,一个随性的90后,2018/2/28 21:29,
,comment,4.20233E+15,,大名单！打call！要开始补点课了，春节期间看起来！,2,,,,4.20231E+15,闲杂飘零零,2018/1/31 18:54,https://weibo.com/2620802695
,comment,4.2026E+15,,男神加油??,3,,,,4.20227E+15,尹铭晨呀,2018/2/1 13:11,https://weibo.com/6341939140
,comment,4.19697E+15,,期待国师8分钟大作，2022冬奥开闭幕式还得看张导的。,3,,,,4.19694E+15,白羊心碎了一地,2018/1/17 0:23,https://weibo.com/5198491876
,comment,4.1984E+15,,相信接下来会更好的,3,,,,4.19721E+15,茶配方糖,2018/1/20 22:54,https://weibo.com/2739445163
,comment,4.21251E+15,,机器人是你大沈阳制造的,3,,,,4.21245E+15,托斯卡纳的大头喵,第58楼 2018-2-28 21:10,https://weibo.com/brunello
,comment,4.24871E+15,,皓哥太太太帅了,3,,,,4.24868E+15,YL楊杨Z,2018/6/8 18:41,https://weibo.com/2203917980
,comment,4.20232E+15,,奥运田径选手在雪车项目上取得冬奥资格的人有不少，但还没有参加过夏奥会的田径选手转项钢架雪车后取得冬奥入场券。预祝张培萌成为历史第一人！,3,,,,4.20227E+15,体育-历史今天看,2018/1/31 18:45,https://weibo.com/lishijintiankan
,comment,4.24605E+15,,很好。,3,,,,4.24603E+15,水珍卡,2018/6/1 10:52,https://weibo.com/6410659719
,comment,4.2537E+15,,好好看,3,,,,4.25369E+15,炯炯有神小洋葱,2018/6/22 13:02,https://weibo.com/3281079275
,comment,4.19911E+15,,棒棒哒,3,,,,4.19907E+15,三颗糖tty,2018/1/23 17:32,
,comment,4.25041E+15,, 以为我看不见？,2,,,,4.25038E+15,用户6296470706 ,2018/6/13 11:03,https://weibo.com/u/6296470706?refer_flag=1001030106_
,comment,4.19721E+15,, 北京2020冬奥会会徽设计真的不咋地。还记得当年央视嘲笑2012伦敦奥运会会徽，现在想想，半斤八两，真有地方用了。不过希望老谋子不是真的江郎才尽，期待能有08北京一样的精彩与惊喜。,1,,,,4.1972E+15,诗凝枫扬 ,2018/1/17 16:04,https://weibo.com/u/2721519827?refer_flag=1001030106_
,comment,4.24868E+15,,我的天啊！瘦成一道闪电啊！,2,,,,4.24868E+15,小江Eric,2018/6/8 16:59,https://weibo.com/5325113678
,comment,4.1995E+15,,黄豆豆是超牛了,3,,,,4.19929E+15,皇家粥店,2018/1/24 0:04,https://weibo.com/5361495083
,comment,4.20281E+15,,牛逼了我的哥,3,,,,4.20227E+15,王大柱2019,2018/2/2 2:49,https://weibo.com/1842383197
,comment,4.1964E+15,," Volunteer' smile, China's image.",3,,,,4.19572E+15,陳怡全 ,2018/1/15 10:27,https://weibo.com/u/1649360995?refer_flag=1001030106_
,comment,4.21387E+15,, 支持我大常州发展石墨烯产业,3,,,,4.21245E+15,库里中文微博CURRY ,2018/3/4 15:31,https://weibo.com/u/5960561252?refer_flag=1001030106_
3831,最新博彩资讯,,879,"#博彩快说##雲頂國際投資2022年冬奧會#
據雲頂集團近来表明，公司现在正在開發其位於中國的滑雪勝地“雲頂度假村隐秘花園”，該公園將承辦2022年北京冬奧會自由式滑雪等專案。

據悉，該公園的計畫投資總額約為27.4億美元，现在工程完成部分已超過三分之一，該度假村將包含88個滑雪道，22個升降椅和約10,000間酒店客房。

中國房地產開發商萬科(China Vanke)首席戰略官吳斌編撰的《中國滑雪產業白皮書》中说到，2000年時中國有大約20萬名滑雪者，但這一數字在2016年增長到了1510萬，可見其增長速度之快。雲頂公司前總經理林啟華表明，雖然雲頂在中國的收入無法和世界各地的博彩業務比较，但中國是對全球博彩運營商而言，仍是中心市場，到2022年，雲頂的廣告價值將是巨大的。 收起全文d",2,3325,,,4.19679E+15,横财网-,2018/1/16 12:02,
139486,媒体人,,3122,#中国新闻#【北京冬奥会筹办:力争奥运村等22个项目今年开工】记者从正在召开的2018年河北省“两会”上了解到，今年河北将高标准推进2022年冬奥场馆和配套基础设施建设，力争奥运村等22个项目开工。 2017年，河北贯彻“绿色办奥、共享办奥、开放办奥、廉洁办奥”理念，高质量编制张家口赛区场馆和相关建设规划并获国家批准，43个项目开工建设。今年，河北将扎实推进冬奥会筹办工作，加快古杨树场馆群、云顶滑雪公园、崇礼铁路等在建场馆和配套设施建设，开工建设张家口奥运村、张家口南综合客运枢纽等项目，推进京张高铁、延崇高速等重大交通项目。同时，河北将实施核心赛区和迎宾廊道造林绿化，预计年内张家口市林木绿化率将达50%。此外，崇礼今年将举行12项国内外重大冰雪赛事。河北将加快冰雪专业人才培养、培训3000名冰雪项目体育指导员，组织200项大众冰雪品牌活动、推广普及冰雪运动；同时，加快冰雪产业发展，培育冰雪运动器具、服装装备等关联产业，努力交出冬奥会筹办和张北发展两张优异答卷。（新华社）#北京身边事# 收起全文d,2,1690788,,2,4.2004E+15,记者杜利勇,2018/1/26 11:26,
,comment,4.20225E+15,,@哆来a梦7706 牛人干啥都牛,3,,,,4.20224E+15,襲小心心,2018/1/31 13:53,https://weibo.com/3057338010
,comment,4.24605E+15,,喜歡這句,3,,,,4.24603E+15,书蝶撅198604,2018/6/1 10:46,https://weibo.com/6404482846
,comment,4.21343E+15,,初级道选手路过..,2,,,,4.21325E+15,Rice猫小米丰薏廷,2018/3/3 10:36,https://weibo.com/6226830351
1634,宁波德业日用电器科技有限公司,,179,"德业低温除湿机入住顺奥冰世界，助力2022北京冬奥会！
#德业# 首都体育馆、五棵松体育馆除湿设备配套企业 L德业除湿机官微的秒拍视频",2,30573,,3,4.25653E+15,德业除湿机官微,2018/6/30 8:46,
151,她还没有填写个人简介,,69,记者从市重大项目办组织召开的《北京2022年冬奥会场馆及配套基础设施总体建设计划》动员部署大会上获悉，北京2022年冬奥会场馆及配套基础设施总体建设计划今天正式发布，52个项目列入冬奥会场馆及配套基础设施，包括延庆冬奥村在内的26个冬奥工程项目将在今年实现开工。 北京冬奥场馆及配套基础设施总体建设计划发布 26项年内开工 O网页链接 收起全文d,2,17,,,4.24584E+15,fenglp1218,2018/5/31 20:39,
,comment,4.21143E+15,,80年代灯光秀，还不如华强北现代。,1,,,,4.21142E+15,哈哈哈8888,2018/2/25 21:37,https://weibo.com/1805288193
,comment,4.19716E+15,,他可以来拍，还自己想拍的这是自己想拍就能拍的？国际上哪个导演敢这么做？,1,,,,4.19715E+15,天霸动霸12358,2018/1/17 13:31,
,comment,4.21288E+15,,CNm,1,,,,4.21288E+15,W行歌,2018/3/1 21:48,https://weibo.com/6280851400
,comment,4.25172E+15,, 是啊，感觉 不管是场上的球员，电视里的评论员，还是屏幕前的观众，每个人都在用力地热爱,2,,,,4.25171E+15,独饮橙汁 ,2018/6/17 2:06,https://weibo.com/u/3515420165?refer_flag=1001030106_
,comment,4.21242E+15,,这不是和快乐大本营小方演的那个飞鹤奶粉的广告一样吗,2,,,,4.2124E+15,Y怀璧其罪,2018/2/28 15:28,https://weibo.com/5949617396
,comment,4.25372E+15,,作为一个东北人，不知道毛了三光什么意思,2,,,,4.25369E+15,Ally_Alison,2018/6/22 14:43,https://weibo.com/1288422665
,comment,4.21286E+15,,这个创意好好啊！,3,,,,4.2124E+15,沈沫君,2018/3/1 20:40,https://weibo.com/2000723883
,comment,4.20237E+15,,加油！！！,3,,,,4.20227E+15,宁包会发光吖,2018/1/31 22:05,https://weibo.com/Sean5love
,comment,4.24868E+15,,帅的不行,3,,,,4.24868E+15,紫砂壶里的热可可x,2018/6/8 16:52,https://weibo.com/5754404315
,comment,4.19407E+15,,这个狂欢节也是很不错的,3,,,,4.19404E+15,社会我奎哥V,2018/1/9 0:09,https://weibo.com/hongzhixue0902
,comment,4.20563E+15,,巴中平昌？,2,,,,4.20231E+15,WEiJiN934,2018/2/9 21:51,https://weibo.com/1886924381
,comment,4.25341E+15,,冰壶,2,,,,4.25338E+15,蔓越莓的黄昏,2018/6/21 18:17,https://weibo.com/3700909201
,comment,4.21161E+15,, 菲儿，雄起#李菲儿 北京8分钟#,2,,,,4.21157E+15,Helen_233 ,2018/2/26 9:30,https://weibo.com/u/2143181582?refer_flag=1001030106_
,comment,4.21248E+15,,#李敏镐# #李敏镐最佳代言人#,3,,,,4.21248E+15,幸運草minoz,2018/2/28 19:35,https://weibo.com/5331703860
,comment,4.19695E+15,,老谋子最擅长大场面,3,,,,4.19694E+15,厄加特啊,2018/1/16 23:05,https://weibo.com/5101039632
,comment,4.19718E+15,,08年张艺谋执导的开幕式真的,3,,,,4.19694E+15,戴面具的菇凉,2018/1/17 14:15,https://weibo.com/5666148103
,comment,4.19817E+15,, 早安，美女,2,,,,4.19792E+15,爱d路上 ,2018/1/20 7:32,https://weibo.com/u/1417787324?refer_flag=1001030106_
57792,广州日报大洋网官方微博,,266,【大学生参演“北京8分钟” 因保密要求被人怀疑做传销】25日晚，2018年平昌冬奥会闭幕式上的“北京8分钟”让人惊艳。四川的赵明亮和杨涵就是其中两位轮滑演员。由于保密原则他们只能告诉家人说会去北京，他们甚至被怀疑说去做“传销”。杨涵说，家人也有所怀疑，看到了合照，才算真的相信。（封面） 收起全文d,1,405028,,1,4.21281E+15,广州日报大洋网,2018/3/1 17:30,
,comment,4.25006E+15,,很炫酷,3,,,,4.25006E+15,苏苏的狸狸susu,2018/6/12 12:12,https://weibo.com/5237857808
24128,沈阳交通广播FM98.6官方微博,,378,"#沈阳智造# 还在被“北京八分钟”刷屏吗？！几个沈阳大美女在冬奥会干了件大事！

2月25日上午11时，平昌冬奥会系列活动之一——2018亚洲传统服饰时尚秀在平昌举行。来自亚洲的24位名模身穿本国民族服饰，通过平昌冬奥会向全世界人民展示亚洲风采。O还在被“北京八分钟”刷屏吗？！几个沈阳大美女在冬奥会干了件大事！",2,399461,,1,4.21238E+15,986路上好朋友,2018/2/28 12:27,
,comment,4.19942E+15,,张坊的也等着呢,1,,,,4.19942E+15,王甲子,2018/1/23 19:01,
25475,北京市海淀区政府官方微博,7,295,"【科技海淀服务科技冬奥】平昌冬奥会上，“北京8分钟”惊艳全世界，这背后有坐落于海淀区的北京理工大学和利亚德光电股份有限公司的身影。同样的，海淀将发挥科技创新优势，服务北京冬奥会和冬残奥会。
“海淀区有1万多家科技创新企业，类别齐全，作为属地政府，我们将组织企业与冬奥组委对接，一方面利用科技优势服务冬奥，一方面拓展产品应用空间。”海淀区政府副区长陈双介绍。
海淀科技企业参加奥运服务的领域繁多，有宣传展示，有器械、材料，有图形服务，有水处理，有温度控制，还有基于大数据的服务等，海淀区已与冬奥组委对接，将开展科技企业打包服务。同时，还将对接首钢科技产业园建设。
“现在的通信技术发展迅速，5G、6G时代即将到来。而海淀驻区企业在这方面走在行业前列。北京冬奥会期间，在五棵松、首体等场馆，5G技术的应用值得期待。到那时，观众在现场录制、视频将更快捷，媒体进行直播也会有更好的网络服务。”陈双表示。 收起全文d",2,1980769,34,1,4.22291E+15,海淀在线,2018/3/29 14:22,
,comment,4.20039E+15,,看一遍超感动！！！,3,,,,4.20039E+15,小蕙重出江湖,2018/1/26 11:00,https://weibo.com/2646448564
19925,天津市文化和旅游局官方微博,,340,"#津城惠生活##惠聚天津#
6月16日-18日端午节期间，#天津大港奥林匹克博物馆#免费对外开放啦！博物馆还举行《中国冬奥情缘》临时展览，庆祝冬奥会进入北京周期，预祝2022年北京冬奥会成功举办。
不仅如此，低碳环保骑游活动和奥林匹克趣味运动会也正在同步进行，感兴趣的你快来参加吧！
地址：天津市滨海新区大港官港湖南侧博物馆馆路236号

#旅游君带你逛津城##旅游君带你游天津##旅游君带你逛天津##津津道津城##聚焦天津卫##惠动津城##游在天津##玩在天津##津时津事# 收起全文d",2,148952,,2,4.25231E+15,天津市旅游信息咨询中心,2018/6/18 17:20,
,comment,4.19942E+15,,希望我家这棚改也赶紧弄 最好补偿也多点 我家房山窦店  要是给的补偿太少 我就找你这说理来,1,,,,4.19942E+15,小V抬杠,2018/1/23 18:27,https://weibo.com/1630294395
,comment,4.19804E+15,, 中国????加油(? ??_??)?,3,,,,4.1972E+15,dkpl2001 ,2018/1/19 23:02,https://weibo.com/u/5773608373?refer_flag=1001030106_
,comment,4.21164E+15,,辛苦啦!真的是好看极了！,3,,,,4.21142E+15,樱ace,2018/2/26 11:28,https://weibo.com/2936655911
,comment,4.21978E+15,,确实惊艳，在这么多天后还能留下印象，对于忘性大的人已经很难得了,3,,,,4.21975E+15,AmorMioVV,2018/3/20 23:08,https://weibo.com/5693127534
1371,超级蜂巢以探寻独角兽为使命，集聚全球智慧、推动世界变革。,,103,6月27日，超级蜂巢将走进“冰雪运动王国”—芬兰，倾力打造运动科技主题活动，以科技力量助力2022冬奥。届时将特邀芬兰著名体育企业代表、芬兰知名律师代表、中国新锐投资人等嘉宾，为到场北欧体育科技企业带来进入中国市场的热门话题。助力冬奥，超级蜂巢在行动！#北京2022# @北京2022年冬奥会,2,14091,,,4.24975E+15,北京天洋蜂巢科技有限公司,2018/6/11 15:43,
,comment,4.22072E+15,,血统好重要，,2,,,,4.22071E+15,火山咖啡太多糖,2018/3/23 13:12,https://weibo.com/6081762692
44924,他还没有填写个人简介,,1,发布了头条文章：《北京冬奥会吉祥物2019年初发布 场馆同年底建成》 O北京冬奥会吉祥物2019年初发布 场馆同年底建成,2,71,,,4.1993E+15,pkacc025_wy,2018/1/23 10:24,
,comment,4.20289E+15,, 真的非常辛苦！,3,,,,4.19785E+15,雾锁重楼_3pi ,2018/2/2 8:26,https://weibo.com/u/1166929165?refer_flag=1001030106_
5863,他还没有填写个人简介,,136,发表了博文《高铁亮相冬奥会开启梦想新征程》平昌冬奥会闭幕式，北京8分钟燃爆全场！24块“冰屏”中，中国高铁与大飞机、“天眼”、太空站等，作为“国之重器”一起亮相，向全世界展示了中国实力，展示了中华民族O高铁亮相冬奥会开启梦想新征程,3,30,,,4.22146E+15,SUNBEAM727,2018/3/25 14:09,
,comment,4.24219E+15,,法塞尔，记住您了,2,,,,4.24219E+15,哦哦哦啦啦226,2018/5/21 19:18,https://weibo.com/6470771055
,comment,4.22365E+15,,全新的联通，不断改变，只有改变才能超越自我,2,,,,4.22356E+15,联通大冰激凌,2018/3/31 14:49,https://weibo.com/1863144653
66,越努力，越幸运,,74,// #QQ看点#【羽生结弦：伤痛只减轻了两三成 理论上人类能做到五周跳】北京时间2月27日，2018年平昌冬奥会花样滑冰男单冠军、日......O网页链接,2,25,,,4.21271E+15,我是一只小蜗牛wl,2018/3/1 10:45,
,comment,4.19964E+15,,看到了唐嫣,2,,,,4.19948E+15,张灿_Regina,2018/1/24 8:52,https://weibo.com/5319262749
21259,内蒙古赤峰市共青团官方微博,,831,【“北京8分钟”背后的故事】平昌冬奥会闭幕式，“北京8分钟”惊艳世界 ！24名轮滑演员与24个带有透明冰屏的智能机器人翩跹起舞，向全世界发出来 自中国的邀请。而这完美呈现的背后，却是风雨无阻的演练，直到分毫不 差。戳↓听北京体育大学的师生们讲述着冬奥会背后的故事！#团聚青春# LCCTV欢乐中国人的秒拍视频 收起全文d,3,27752,2,,4.2199E+15,赤峰市团委,2018/3/21 6:54,
,comment,4.25597E+15,, 抓住机遇，不负众望[加油][加油][加油],3,,,,4.25585E+15,北京延庆 ,2018/6/28 19:52,https://weibo.com/u/2357622927?refer_flag=1001030106_
,comment,4.25341E+15,,短道速滑，还没有看过强壮的他飞驰在冰场,2,,,,4.25338E+15,NztSalah,2018/6/21 17:53,https://weibo.com/6128378809
,comment,4.21143E+15,,刚说相当志愿者呢，已经招完了？还会再招不,2,,,,4.19747E+15,Lindabaibai,2018/2/25 21:34,https://weibo.com/lindabaibai
,comment,4.24067E+15,,希望2022看到王濛,2,,,,4.24065E+15,干了这颗柠檬,2018/5/17 14:17,https://weibo.com/2111217774
,comment,4.19699E+15,,开头以为使出螺旋丸…,1,,,,4.19694E+15,moelarrycurly,2018/1/17 1:12,https://weibo.com/1885839853
85154,都市时报官方微博,,367,【安利纽崔莱全程营养支持助力冬奥会】1月23日，中国奥委会赞助商安利纽崔莱在国家体育总局北京体育馆举行“助力中国奥运军团出征2018平昌冬奥会”出征仪式，中国奥运代表团将从即日起分批次奔赴韩国平昌，征战第23届平昌冬季奥运会。 安利纽崔莱自2000年以来，已连续18年来为中国奥运军团提供专业产品及服务。 收起全文d,2,1726286,1,6,4.20051E+15,都市时报,2018/1/26 18:26,
,comment,4.25347E+15,,冰球，因为都是集体的球类项目,2,,,,4.25338E+15,呆瓜拉,2018/6/21 21:50,https://weibo.com/2625805354
,comment,4.20228E+15,,唉，既生萌，何生添！,1,,,,4.20224E+15,没醒来狗和我一样,2018/1/31 15:50,https://weibo.com/dorlaamon
,comment,4.25339E+15,,给c罗道歉,1,,,,4.25338E+15,善良廣州百姓,2018/6/21 16:34,https://weibo.com/1916507650
,comment,4.20239E+15,,今天是个好日子，今天查艺考成绩，我过啦哈哈哈哈,3,,,,4.20227E+15,吉内内呀,2018/1/31 22:58,https://weibo.com/5593934964
,comment,4.24605E+15,,支持一下,3,,,,4.24603E+15,卞尔晴丢,2018/6/1 10:41,https://weibo.com/6408202564
,comment,4.19719E+15,,应该发射颗东风看看八分钟能不能炸到自己,1,,,,4.19719E+15,孟新宇Mxy,2018/1/17 16:11,
,comment,4.25339E+15,,冰壶啊  碰瓷功夫天下第一！碰谁谁走！,2,,,,4.25338E+15,时分秒之恋,2018/6/21 16:52,https://weibo.com/2716177501
,comment,4.25339E+15,,请先道歉。,1,,,,4.25338E+15,張无忌哥哥_,2018/6/21 16:37,https://weibo.com/2959680441
24128,沈阳交通广播FM98.6官方微博,,378,"#986直击#
【机器人未来体验馆将对广大公众开放 机器人国家创新中心落户沈阳】
平昌冬奥会闭幕式上，由张艺谋导演执导的”北京8分钟”惊艳世界，让咱沈阳人自豪的是，和舞蹈演员的联袂演出的24个移动机器人，就是咱沈阳生产的。
今天上午，本台记者晓丹走进沈阳新松机器人自动化有限公司，对总裁曲道奎进行了采访。曲道奎透露，24个参与演出的移动机器人回沈后，将摆放在新松公司的机器人未来体验馆中，下一步，机器人未来体验馆将对广大公众开放，对青少年进行科普教育。
此外，机器人国家创新中心落户沈阳，目前已成定局。沈阳成为中国机器人发展的重要基地，对于未来沈阳机器人与智能制造发展有着划时代的意义。 收起全文d",2,399460,,3,4.21279E+15,986路上好朋友,2018/3/1 15:42,
435,中国传媒大学中国新型城镇化研究中心官方微博,,583,【2022京张冬奥会，令世界期待】～北京、张家口联合举办2022年冬奥会，打破了以往单一城市举办冬奥会的惯例，首创跨城市、跨地域申办冬奥会模式，在体现优势互补的基础上，突出了区域合作的重要性～O网页链接,2,102145,1,,4.21246E+15,新型城镇化研究中心,2018/2/28 18:05,
,comment,4.25112E+15,,柚子应该不会参加北京冬奥会了,2,,,,4.25112E+15,IV哈牛呦呦,2018/6/15 11:54,
,comment,4.20296E+15,,????加油！,3,,,,4.20266E+15,开心PenGJ,2018/2/2 12:47,https://weibo.com/5487096942
,comment,4.20237E+15,,加油??,3,,,,4.20227E+15,晓蓉616,2018/1/31 22:06,https://weibo.com/5367046328
7746,夏普科技（深圳）有限公司,2,80,#与视界谈谈# 一年一度#奥林匹克日# 到了、赞美奥林匹克精神的同时，同时欢呼2022年北京冬奥会离我们更近了，我们和你相约在冬季！,2,1687312,2,2,4.25411E+15,夏普互连网电视,2018/6/23 16:26,
41422,嗨牛财经A股资讯频道,,63,实时播报：【北京：抓好“三件大事” 打赢“三大攻坚战”】嗨牛财经讯，北京市代理市长陈吉宁指出，“三件大事”，就是要精心组织实施新一版北京城市总体规划；以疏解北京非首都功能为“牛鼻子”推动京津冀协同发展；全力筹办好2022年北京冬奥会、冬残奥会。“三大攻坚战”，就是要打好防范化解重大风险攻坚战，重点是防控金融风险，切实加强政府债务管理，打击非法集资等违法违规金融活动，坚决守住不发生系统性金融风险的底线；打好精准脱贫攻坚战；打好污染防治攻坚战，重点是打赢蓝天保卫战、碧水攻坚战、突出问题歼灭战，特别是大气污染防治。 收起全文d,2,14915,,,4.19965E+15,嗨牛财经A股频道,2018/1/24 9:48,
,comment,4.20203E+15,, 已下载 但是平昌的，离线地图没有标注很细致，望改进,1,,,,4.2019E+15,欠欠欠你的啊 ,2018/1/30 23:05,https://weibo.com/u/1744089502?refer_flag=1001030106_
,comment,4.19966E+15,,又要涌现一大批千万元户，我们穷工人才惨，一间屋子半间炕，没钱买房，没人给你盖房，几家合住没人解决，潦倒一生，以前是工人老大哥，现在是臭狗屎,1,,,,4.19942E+15,看我越走越远,2018/1/24 10:34,https://weibo.com/5657703350
17164,校园资讯博主（成都）,,2386,#高校头条# 【央视专访张艺谋：平昌“北京8分钟”表演主题基本确定为“2022，相约北京”】2018韩国平昌冬奥会开幕在即，负责执导闭幕式交接仪式“北京8分钟”的张艺谋，正带领主创团队进行赴平昌前的最后彩排。平昌 “北京8分钟”定位是什么？将呈现怎样的表演？来听听他是怎么说的↓L央视新闻的秒拍视频 收起全文d,2,213927,,1,4.19724E+15,四川高校头条,2018/1/17 18:22,
,comment,4.24876E+15,,瘦了瘦了,2,,,,4.24868E+15,萧峰1010,2018/6/8 22:14,https://weibo.com/2126761107
,comment,4.24869E+15,,瘦了，好帅,2,,,,4.24868E+15,云淡风轻EON,2018/6/8 17:14,https://weibo.com/5456077957
356,作为全球知名的零售集团，为您提供一站式高品质购物体验。专注服务超过1000万余会员，麦德龙已在中国的5...,,103,"08年北京奥运，10年上海世博，
16年杭州G20峰会，22年北京冬奥会，
一麦相承！
热烈祝贺，麦德龙与2022年冬奥会组委会达成合作麦德龙将会为北京冬奥会食堂及运动员餐厅提供优质的、安全的食品原材料！??
质量源于品质，品质源于安全。??????
haccp认证专供航天员和运动员食用，我们有充分的自信
选择麦德龙是绝对正确的选择 O网页链接 收起全文d",2,137,,,4.24587E+15,麦德龙成都锦江商场,2018/5/31 23:01,
,comment,4.2535E+15,,花样滑冰！欧洲步舞姿太迷人,3,,,,4.25338E+15,Icrossuover,2018/6/21 23:57,https://weibo.com/3776916091
,comment,4.25045E+15,,[加油],3,,,,4.2504E+15,小战士ND319,2018/6/13 13:52,https://weibo.com/2007077533
,comment,4.21246E+15,, 呱唧呱唧,3,,,,4.21238E+15,火星时代教育 ,2018/2/28 17:57,https://weibo.com/u/1764414703?refer_flag=1001030106_
,comment,4.19695E+15,,张指好久没有出大片了哦,1,,,,4.19694E+15,雨灬花了妆,2018/1/16 22:42,https://weibo.com/2795643472
,comment,4.25045E+15,,[加油][加油],3,,,,4.2504E+15,小战士ND319,2018/6/13 13:52,https://weibo.com/2007077533
,comment,4.24606E+15,,我有错过什么了吗,2,,,,4.24603E+15,宓怀云体,2018/6/1 11:11,https://weibo.com/6399636984
,comment,4.25097E+15,,是的，真刺激,3,,,,4.25097E+15,灼灼璞玉是一天啊,2018/6/15 0:15,
,comment,4.19749E+15,,冬奥会从平昌到昌平,2,,,,4.19728E+15,钓鱼岛主人_,2018/1/18 10:33,https://weibo.com/5302164313
,comment,4.21288E+15,, 元宵节快乐,3,,,,4.21286E+15,岳意ai ,2018/3/1 22:04,https://weibo.com/u/1038515633?refer_flag=1001030106_
